passangers,freight,mail,airline_id,year,month,class,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,aircraft_type,carrier,flight_id
1892,0,0,20304,2017,6,F,3402,2153,11413,11292,629,OO,1590
2878,0,0,20304,2017,6,F,8273,7058,13930,10372,631,OO,1591
5427,52536,3227,19977,2017,6,F,15042,14069,10299,11292,614,UA,1592
7861,17156,0,19393,2017,6,F,6822,5912,13796,11292,614,WN,1593
1858,0,0,20354,2017,6,F,3903,3189,14120,11292,675,AJQ,1594
2245,0,0,20304,2017,6,F,8101,6734,10372,13930,631,OO,1595
1912,0,0,20304,2017,6,F,4596,3053,14869,11292,629,OO,1596
3307,0,0,20304,2017,6,F,7290,6141,14893,11292,673,OO,1597
6809,7460,0,19393,2017,6,F,11613,10486,12264,11292,612,WN,1598
730,0,0,20358,2017,6,F,4423,3602,11292,14877,461,ZK,1599
758,0,0,20358,2017,6,F,4991,4252,14877,11292,461,ZK,1600
828,0,0,20304,2017,6,F,3389,2270,11292,12255,629,OO,1601
1949,0,0,20304,2017,6,F,5510,4231,11292,12519,629,OO,1602
1185,0,0,20304,2017,6,F,2321,1213,11292,12888,629,OO,1603
1975,0,0,20304,2017,6,F,5633,4367,11292,14783,629,OO,1604
787,0,0,20304,2017,6,F,3696,2687,12255,11292,629,OO,1605
7204,2650,16993,19977,2017,6,F,5687,4519,11292,12889,614,UA,1606
7769,759,34846,19977,2017,6,F,7254,5738,14679,11292,614,UA,1607
8402,30930,0,19393,2017,6,F,8380,7428,10693,11292,614,WN,1608
6899,4387,0,19393,2017,6,F,5024,4177,15370,11292,612,WN,1609
1759,0,0,20237,2017,6,F,4852,3710,11292,11315,675,AX,1610
1671,0,0,20237,2017,6,F,4873,3868,11315,11292,675,AX,1611
348,0,0,21599,2017,6,F,2986,2516,10221,11292,479,4B,1612
321,0,0,21599,2017,6,F,3581,3117,10925,11292,479,4B,1613
385,0,0,21599,2017,6,F,4148,3385,10950,11292,458,4B,1614
312,0,0,21599,2017,6,F,3084,2471,11292,10221,479,4B,1615
346,0,0,21599,2017,6,F,3414,2778,11292,10925,479,4B,1616
250,0,0,21599,2017,6,F,3462,2760,11292,13200,479,4B,1617
345,0,0,21599,2017,6,F,4029,3116,11292,15582,458,4B,1618
242,0,0,21599,2017,6,F,3819,3291,13200,11292,479,4B,1619
356,0,0,21599,2017,6,F,3657,2947,15582,11292,458,4B,1620
3095,0,0,20500,2017,6,F,7895,6560,11292,11267,631,G7,1621
1249,0,0,20304,2017,6,F,2546,1430,12888,11292,629,OO,1622
2314,0,0,20304,2017,6,F,7491,6183,12992,11292,629,OO,1623
7770,7890,8660,19977,2017,6,F,17289,16036,11292,10299,614,UA,1624
3288,0,0,20452,2017,6,F,2158,916,11292,11109,677,YX,1625
2218,0,0,20237,2017,6,F,4057,3045,10279,11292,675,AX,1626
